lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
ME,secchi_max,2012-05-01,2012,122,124.08187363288174,0.981082644972102,TRUE,FALSE
ME,secchi_max,2013-06-10,2013,161,157.54610012368457,0.9821295738017863,TRUE,FALSE
ME,secchi_max,2014-06-09,2014,160,159.4219598135823,0.8919978755986949,TRUE,FALSE
ME,secchi_max,2015-06-08,2015,159,151.0354053180009,0.8182405947044094,TRUE,FALSE
ME,secchi_max,2016-05-11,2016,132,133.66411524352512,0.8770379667824245,TRUE,FALSE
ME,secchi_max,2017-05-30,2017,150,148.1961402332619,0.830030298987637,TRUE,FALSE
ME,secchi_max,2018-06-11,2018,162,152.22763109759086,0.34354752499670815,TRUE,FALSE
ME,secchi_max,2019-05-28,2019,148,151.15484046149913,0.9872630452967713,TRUE,FALSE
MO,secchi_max,1995-05-23,1995,143,135.2959866612462,0.980575742979828,TRUE,TRUE
MO,secchi_max,1996-06-10,1996,162,159.12865094520407,0.8912476032655727,TRUE,FALSE
MO,secchi_max,1997-04-21,1997,111,103.273251328533,0.671061759927154,TRUE,FALSE
MO,secchi_max,1998-05-11,1998,131,128.19135577080235,0.8769355388470905,TRUE,FALSE
MO,secchi_max,1999-04-30,1999,120,134.50129203306102,0.7770829201254152,TRUE,FALSE
MO,secchi_max,2000-04-25,2000,116,118.16620724421885,0.970404343897042,TRUE,FALSE
MO,secchi_max,2001-05-09,2001,129,127.06332299010349,0.8312551235057639,TRUE,FALSE
MO,secchi_max,2002-05-21,2002,141,140.76406836824148,0.9426431988696214,TRUE,FALSE
MO,secchi_max,2003-05-27,2003,147,139.45618253925713,0.9539309076148694,TRUE,FALSE
MO,secchi_max,2004-05-11,2004,132,127.32125643961865,0.885282102659386,TRUE,FALSE
MO,secchi_max,2005-05-10,2005,130,126.0774807535455,0.9463566083547241,TRUE,FALSE
MO,secchi_max,2006-05-03,2006,123,122.29090365083505,0.8661255941969433,TRUE,FALSE
