lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
AL,no3no2_surfMax,2016-04-25,2016,116,116,0.9599117575197554
AL,ph_surfMax,2016-08-18,2016,231,206,0.831176860844249
AL,totnf_surfMax,2016-10-11,2016,285,293,0.8328080184071454
AL,totnuf_surfMax,2016-10-11,2016,285,292,0.7836954745474172
AL,totpuf_surfMax,2016-10-11,2016,285,286,0.8115420705731415
AL,doc_surfMax,2017-07-12,2017,193,202,0.977494903013827
AL,drsif_surfMax,2017-11-07,2017,311,-999,-999
AL,no3no2_surfMax,2017-04-17,2017,107,107,0.9075643686240125
AL,ph_surfMax,2017-08-08,2017,220,216,0.7620219100793311
AL,totnf_surfMax,2017-08-08,2017,220,107,0.18764047557740193
AL,totnuf_surfMax,2017-08-08,2017,220,219,0.6776712362796347
AL,totpuf_surfMax,2017-11-07,2017,311,311,0.7735417672193576
AL,doc_surfMax,2018-08-08,2018,220,NA,NA
AL,drsif_surfMax,2018-10-02,2018,275,NA,NA
AL,no3no2_surfMax,2018-11-05,2018,309,NA,NA
AL,ph_surfMax,2018-08-08,2018,220,NA,NA
AL,totnf_surfMax,2018-11-05,2018,309,NA,NA
AL,totnuf_surfMax,2018-11-05,2018,309,NA,NA
AL,totpuf_surfMax,2018-11-05,2018,309,NA,NA
BM,drsif_surfMax,1982-10-18,1982,291,291,0.9813237570463441
BM,no3no2_surfMax,1982-05-11,1982,131,131,0.951210254795841
BM,ph_surfMax,1982-06-21,1982,172,169,0.4937115057338608
BM,drsif_surfMax,1983-08-17,1983,229,228,0.9037123364050959
BM,no3no2_surfMax,1983-05-26,1983,146,146,0.9143968050035787
BM,ph_surfMax,1983-07-06,1983,187,200,0.7354744373083846
BM,drsif_surfMax,1984-07-03,1984,185,-999,-999
BM,no3no2_surfMax,1984-05-24,1984,145,138,0.9520550846606457
BM,ph_surfMax,1984-07-03,1984,185,174,0.8680357007398392
BM,drsif_surfMax,1985-07-25,1985,206,197,0.7374592541270725
BM,no3no2_surfMax,1985-05-01,1985,121,121,0.8233715785265473
BM,ph_surfMax,1985-08-08,1985,220,190,0.8450737217439774
BM,doc_surfMax,1986-08-12,1986,224,234,0.7688088506650632
BM,drsif_surfMax,1986-08-12,1986,224,-999,-999
BM,no3no2_surfMax,1986-04-23,1986,113,113,0.9561999426092846
BM,ph_surfMax,1986-06-18,1986,169,179,0.931823935268897
BM,totnf_surfMax,1986-08-12,1986,224,219,0.75816655859261
BM,totnuf_surfMax,1986-08-12,1986,224,-999,-999
BM,doc_surfMax,1987-08-11,1987,223,224,0.9288393329860442
BM,drsif_surfMax,1987-10-06,1987,279,237,0.8357554764712245
BM,no3no2_surfMax,1987-04-16,1987,106,106,0.9192349699155615
BM,ph_surfMax,1987-07-14,1987,195,210,0.7500972019104946
BM,totnf_surfMax,1987-04-16,1987,106,106,0.5155762101082065
BM,totnuf_surfMax,1987-04-16,1987,106,106,0.5068723699850601
BM,totpuf_surfMax,1987-04-16,1987,106,106,0.5004123799352255
BM,doc_surfMax,1988-07-20,1988,202,202,0.8275448363700522
BM,drsif_surfMax,1988-08-18,1988,231,222,0.9659965839075989
BM,no3no2_surfMax,1988-04-25,1988,116,116,0.9181135137218557
BM,ph_surfMax,1988-06-22,1988,174,191,0.787868522291661
BM,totnf_surfMax,1988-05-25,1988,146,-999,-999
BM,totnuf_surfMax,1988-04-25,1988,116,116,0.6027019899036419
BM,totpuf_surfMax,1988-04-25,1988,116,116,0.4343238688857095
BM,doc_surfMax,1989-09-20,1989,263,237,0.919101410711598
BM,drsif_surfMax,1989-09-20,1989,263,254,0.9475350136791181
BM,no3no2_surfMax,1989-05-02,1989,122,122,0.6328339000445149
BM,ph_surfMax,1989-06-27,1989,178,194,0.8942448193176932
BM,totnf_surfMax,1989-05-02,1989,122,122,0.49926996929183587
BM,totnuf_surfMax,1989-09-20,1989,263,-999,-999
BM,totpuf_surfMax,1989-10-17,1989,290,-999,-999
BM,doc_surfMax,1990-11-14,1990,318,NA,NA
BM,drsif_surfMax,1990-07-26,1990,207,208,0.8444191510143714
BM,no3no2_surfMax,1990-11-14,1990,318,318,0.9664468437656716
BM,ph_surfMax,1990-07-26,1990,207,189,0.9038080707469863
BM,totnf_surfMax,1990-05-01,1990,121,318,-0.0340849012880009
BM,totnuf_surfMax,1990-05-01,1990,121,-999,-999
BM,totpuf_surfMax,1990-05-01,1990,121,121,0.4747827638895955
BM,doc_surfMax,1991-05-06,1991,126,NA,NA
BM,drsif_surfMax,1991-08-27,1991,239,NA,NA
BM,no3no2_surfMax,1991-05-06,1991,126,NA,NA
BM,ph_surfMax,1991-07-29,1991,210,NA,NA
BM,totnf_surfMax,1991-09-24,1991,267,NA,NA
BM,totnuf_surfMax,1991-05-06,1991,126,NA,NA
BM,totpuf_surfMax,1991-05-06,1991,126,NA,NA
BM,doc_surfMax,1992-07-08,1992,190,188,0.873807881546559
BM,drsif_surfMax,1992-07-30,1992,212,210,0.5016814869716769
BM,no3no2_surfMax,1992-05-05,1992,126,126,0.8773595262643249
