lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
CB,iceoff,1990-04-16,1990,106,106,1,TRUE,NA
CB,iceoff,1991-04-15,1991,105,105,1,TRUE,NA
CB,iceoff,1992-04-27,1992,118,118,1,TRUE,NA
CB,iceoff,1993-04-28,1993,118,118,1,TRUE,NA
CB,iceoff,1994-04-18,1994,108,108,1,TRUE,NA
CB,iceoff,1995-04-17,1995,107,107,1,TRUE,NA
CB,iceoff,1996-05-06,1996,127,127,1,TRUE,NA
CB,iceoff,1997-04-26,1997,116,116,1,TRUE,NA
CB,iceoff,1998-04-07,1998,97,97,1,TRUE,NA
CB,iceoff,1999-04-12,1999,102,102,1,TRUE,NA
CB,iceoff,2000-03-26,2000,86,86,1,TRUE,NA
CB,iceoff,2001-04-20,2001,110,110,1,TRUE,NA
