lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
CR,iceoff,1993-05-02,1993,122,NA,NA
CR,iceoff,1994-04-21,1994,111,NA,NA
CR,iceoff,1995-04-17,1995,107,NA,NA
CR,iceoff,1996-05-11,1996,132,NA,NA
CR,iceoff,1997-04-28,1997,118,NA,NA
CR,iceoff,1998-04-08,1998,98,NA,NA
CR,iceoff,1999-04-15,1999,105,NA,NA
CR,iceoff,2000-03-31,2000,91,NA,NA
CR,iceoff,2001-04-23,2001,113,NA,NA
CR,iceoff,2002-04-19,2002,109,NA,NA
CR,iceoff,2003-04-24,2003,114,NA,NA
CR,iceoff,2004-04-19,2004,110,NA,NA
CR,iceoff,2005-04-15,2005,105,NA,NA
CR,iceoff,2006-04-13,2006,103,NA,NA
CR,iceoff,2007-04-12,2007,102,NA,NA
CR,iceoff,2008-04-30,2008,121,NA,NA
CR,iceoff,2009-04-20,2009,110,NA,NA
CR,iceoff,2010-03-29,2010,88,NA,NA
CR,iceoff,2011-04-28,2011,118,NA,NA
CR,iceoff,2012-03-20,2012,80,NA,NA
CR,iceoff,2013-05-08,2013,128,NA,NA
CR,iceoff,2014-05-07,2014,127,NA,NA
CR,iceoff,2015-04-14,2015,104,NA,NA
CR,iceoff,2016-04-18,2016,109,NA,NA
CR,iceoff,2017-04-09,2017,99,NA,NA
CR,iceoff,2018-05-07,2018,127,NA,NA
CR,iceoff,2019-04-26,2019,116,NA,NA
CR,iceoff,2020-04-28,2020,119,NA,NA
SP,iceoff,1982-05-04,1982,124,NA,NA
SP,iceoff,1983-04-30,1983,120,NA,NA
SP,iceoff,1984-04-21,1984,112,NA,NA
SP,iceoff,1985-04-22,1985,112,NA,NA
SP,iceoff,1986-04-12,1986,102,NA,NA
SP,iceoff,1987-04-12,1987,102,NA,NA
SP,iceoff,1988-04-14,1988,105,NA,NA
SP,iceoff,1989-04-26,1989,116,NA,NA
SP,iceoff,1990-04-17,1990,107,NA,NA
SP,iceoff,1991-04-22,1991,112,NA,NA
SP,iceoff,1992-05-01,1992,122,NA,NA
SP,iceoff,1993-05-02,1993,122,NA,NA
SP,iceoff,1994-04-22,1994,112,NA,NA
SP,iceoff,1995-04-25,1995,115,NA,NA
SP,iceoff,1996-05-12,1996,133,NA,NA
SP,iceoff,1997-04-29,1997,119,NA,NA
SP,iceoff,1998-04-09,1998,99,NA,NA
SP,iceoff,1999-04-16,1999,106,NA,NA
SP,iceoff,2000-04-03,2000,94,NA,NA
SP,iceoff,2001-04-23,2001,113,NA,NA
SP,iceoff,2002-04-19,2002,109,NA,NA
SP,iceoff,2003-04-25,2003,115,NA,NA
SP,iceoff,2004-04-19,2004,110,NA,NA
SP,iceoff,2005-04-15,2005,105,NA,NA
SP,iceoff,2006-04-14,2006,104,NA,NA
SP,iceoff,2007-04-16,2007,106,NA,NA
SP,iceoff,2008-05-02,2008,123,NA,NA
SP,iceoff,2009-04-23,2009,113,NA,NA
SP,iceoff,2010-03-31,2010,90,NA,NA
SP,iceoff,2011-04-26,2011,116,NA,NA
SP,iceoff,2012-03-20,2012,80,NA,NA
SP,iceoff,2013-05-10,2013,130,NA,NA
SP,iceoff,2014-05-09,2014,129,NA,NA
SP,iceoff,2015-04-15,2015,105,NA,NA
SP,iceoff,2016-04-18,2016,109,NA,NA
SP,iceoff,2017-04-09,2017,99,NA,NA
SP,iceoff,2018-05-05,2018,125,NA,NA
SP,iceoff,2019-05-01,2019,121,NA,NA
SP,iceoff,2020-04-28,2020,119,NA,NA
TB,iceoff,1982-05-03,1982,123,NA,NA
TB,iceoff,1983-04-28,1983,118,NA,NA
TB,iceoff,1984-04-19,1984,110,NA,NA
TB,iceoff,1985-04-23,1985,113,NA,NA
TB,iceoff,1986-04-14,1986,104,NA,NA
TB,iceoff,1987-04-12,1987,102,NA,NA
TB,iceoff,1988-04-15,1988,106,NA,NA
TB,iceoff,1989-04-26,1989,116,NA,NA
TB,iceoff,1990-04-23,1990,113,NA,NA
TB,iceoff,1991-04-19,1991,109,NA,NA
TB,iceoff,1992-04-29,1992,120,NA,NA
TB,iceoff,1993-04-28,1993,118,NA,NA
TB,iceoff,1994-04-20,1994,110,NA,NA
TB,iceoff,1995-04-27,1995,117,NA,NA
TB,iceoff,1996-05-09,1996,130,NA,NA
TB,iceoff,1997-04-29,1997,119,NA,NA
TB,iceoff,1998-04-11,1998,101,NA,NA
TB,iceoff,1999-04-15,1999,105,NA,NA
TB,iceoff,2000-04-04,2000,95,NA,NA
TB,iceoff,2001-04-23,2001,113,NA,NA
TB,iceoff,2002-04-24,2002,114,NA,NA
TB,iceoff,2003-04-23,2003,113,NA,NA
TB,iceoff,2004-04-21,2004,112,NA,NA
TB,iceoff,2005-04-15,2005,105,NA,NA
TB,iceoff,2006-04-13,2006,103,NA,NA
TB,iceoff,2007-04-18,2007,108,NA,NA
TB,iceoff,2008-04-30,2008,121,NA,NA
TB,iceoff,2009-04-22,2009,112,NA,NA
TB,iceoff,2010-03-31,2010,90,NA,NA
TB,iceoff,2011-05-01,2011,121,NA,NA
TB,iceoff,2012-03-26,2012,86,NA,NA
TB,iceoff,2013-05-09,2013,129,NA,NA
TB,iceoff,2014-05-09,2014,129,NA,NA
TB,iceoff,2015-04-13,2015,103,NA,NA
TB,iceoff,2016-04-18,2016,109,NA,NA
TB,iceoff,2017-04-15,2017,105,NA,NA
TB,iceoff,2018-05-06,2018,126,NA,NA
TB,iceoff,2019-04-25,2019,115,NA,NA
TB,iceoff,2020-04-26,2020,117,NA,NA
TR,iceoff,1982-05-04,1982,124,NA,NA
TR,iceoff,1983-05-02,1983,122,NA,NA
TR,iceoff,1984-04-26,1984,117,NA,NA
TR,iceoff,1985-04-24,1985,114,NA,NA
TR,iceoff,1986-04-15,1986,105,NA,NA
TR,iceoff,1987-04-16,1987,106,NA,NA
TR,iceoff,1988-04-27,1988,118,NA,NA
TR,iceoff,1989-05-03,1989,123,NA,NA
TR,iceoff,1990-04-23,1990,113,NA,NA
TR,iceoff,1991-04-26,1991,116,NA,NA
TR,iceoff,1992-04-30,1992,121,NA,NA
TR,iceoff,1993-05-07,1993,127,NA,NA
TR,iceoff,1994-04-25,1994,115,NA,NA
TR,iceoff,1995-05-02,1995,122,NA,NA
TR,iceoff,1996-05-17,1996,138,NA,NA
TR,iceoff,1997-05-01,1997,121,NA,NA
TR,iceoff,1998-04-11,1998,101,NA,NA
TR,iceoff,1999-04-23,1999,113,NA,NA
TR,iceoff,2000-04-07,2000,98,NA,NA
TR,iceoff,2001-04-23,2001,113,NA,NA
TR,iceoff,2002-04-24,2002,114,NA,NA
TR,iceoff,2003-04-28,2003,118,NA,NA
TR,iceoff,2004-04-21,2004,112,NA,NA
TR,iceoff,2005-04-16,2005,106,NA,NA
TR,iceoff,2006-04-16,2006,106,NA,NA
TR,iceoff,2007-04-22,2007,112,NA,NA
TR,iceoff,2008-05-05,2008,126,NA,NA
TR,iceoff,2009-04-27,2009,117,NA,NA
TR,iceoff,2010-04-02,2010,92,NA,NA
TR,iceoff,2011-04-30,2011,120,NA,NA
TR,iceoff,2012-03-20,2012,80,NA,NA
TR,iceoff,2013-05-14,2013,134,NA,NA
TR,iceoff,2014-05-10,2014,130,NA,NA
TR,iceoff,2015-04-19,2015,109,NA,NA
TR,iceoff,2016-04-19,2016,110,NA,NA
TR,iceoff,2017-04-15,2017,105,NA,NA
TR,iceoff,2018-05-09,2018,129,NA,NA
TR,iceoff,2019-05-07,2019,127,NA,NA
TR,iceoff,2020-04-30,2020,121,NA,NA
ME,iceoff,1992-03-26,1992,86,NA,NA
ME,iceoff,1993-04-11,1993,101,NA,NA
ME,iceoff,1994-03-31,1994,90,NA,NA
ME,iceoff,1995-03-21,1995,80,NA,NA
ME,iceoff,1996-04-07,1996,98,NA,NA
ME,iceoff,1997-04-01,1997,91,NA,NA
ME,iceoff,1998-02-27,1998,58,NA,NA
ME,iceoff,1999-03-21,1999,80,NA,NA
ME,iceoff,2000-03-07,2000,67,NA,NA
ME,iceoff,2001-04-07,2001,97,NA,NA
ME,iceoff,2002-03-15,2002,74,NA,NA
ME,iceoff,2003-04-03,2003,93,NA,NA
ME,iceoff,2004-03-27,2004,87,NA,NA
ME,iceoff,2005-04-05,2005,95,NA,NA
ME,iceoff,2006-03-24,2006,83,NA,NA
ME,iceoff,2007-03-27,2007,86,NA,NA
ME,iceoff,2008-04-10,2008,101,NA,NA
ME,iceoff,2009-03-23,2009,82,NA,NA
ME,iceoff,2010-03-26,2010,85,NA,NA
ME,iceoff,2011-04-03,2011,93,NA,NA
ME,iceoff,2012-03-11,2012,71,NA,NA
ME,iceoff,2013-04-11,2013,101,NA,NA
ME,iceoff,2014-04-12,2014,102,NA,NA
ME,iceoff,2015-04-03,2015,93,NA,NA
ME,iceoff,2016-03-13,2016,73,NA,NA
ME,iceoff,2017-03-07,2017,66,NA,NA
ME,iceoff,2018-03-31,2018,90,NA,NA
ME,iceoff,2019-03-31,2019,90,NA,NA
ME,iceoff,2020-03-22,2020,82,NA,NA
MO,iceoff,1992-03-16,1992,76,NA,NA
MO,iceoff,1993-04-11,1993,101,NA,NA
MO,iceoff,1994-03-31,1994,90,NA,NA
MO,iceoff,1995-03-31,1995,90,NA,NA
MO,iceoff,1996-03-24,1996,84,NA,NA
MO,iceoff,1997-03-26,1997,85,NA,NA
MO,iceoff,1998-02-27,1998,58,NA,NA
MO,iceoff,1999-03-10,1999,69,NA,NA
MO,iceoff,2000-03-06,2000,66,NA,NA
MO,iceoff,2001-03-31,2001,90,NA,NA
MO,iceoff,2002-02-26,2002,57,NA,NA
MO,iceoff,2003-03-22,2003,81,NA,NA
MO,iceoff,2004-03-20,2004,80,NA,NA
MO,iceoff,2005-03-31,2005,90,NA,NA
MO,iceoff,2006-03-12,2006,71,NA,NA
MO,iceoff,2007-03-26,2007,85,NA,NA
MO,iceoff,2008-04-07,2008,98,NA,NA
MO,iceoff,2009-03-24,2009,83,NA,NA
MO,iceoff,2010-03-25,2010,84,NA,NA
MO,iceoff,2011-04-03,2011,93,NA,NA
MO,iceoff,2012-03-12,2012,72,NA,NA
MO,iceoff,2013-04-11,2013,101,NA,NA
MO,iceoff,2014-04-10,2014,100,NA,NA
MO,iceoff,2015-04-02,2015,92,NA,NA
MO,iceoff,2016-03-13,2016,73,NA,NA
MO,iceoff,2017-03-07,2017,66,NA,NA
MO,iceoff,2018-03-29,2018,88,NA,NA
MO,iceoff,2019-03-31,2019,90,NA,NA
MO,iceoff,2020-03-20,2020,80,NA,NA
WI,iceoff,1992-03-08,1992,68,NA,NA
WI,iceoff,1993-04-09,1993,99,NA,NA
WI,iceoff,1994-03-26,1994,85,NA,NA
WI,iceoff,1995-03-17,1995,76,NA,NA
WI,iceoff,1996-03-25,1996,85,NA,NA
WI,iceoff,1997-03-26,1997,85,NA,NA
WI,iceoff,1998-02-26,1998,57,NA,NA
WI,iceoff,1999-03-11,1999,70,NA,NA
WI,iceoff,2000-03-04,2000,64,NA,NA
WI,iceoff,2001-04-05,2001,95,NA,NA
WI,iceoff,2002-03-14,2002,73,NA,NA
WI,iceoff,2003-03-24,2003,83,NA,NA
WI,iceoff,2004-03-16,2004,76,NA,NA
WI,iceoff,2005-04-03,2005,93,NA,NA
WI,iceoff,2006-03-14,2006,73,NA,NA
WI,iceoff,2007-03-25,2007,84,NA,NA
WI,iceoff,2008-04-06,2008,97,NA,NA
WI,iceoff,2009-03-18,2009,77,NA,NA
WI,iceoff,2010-03-26,2010,85,NA,NA
WI,iceoff,2011-04-01,2011,91,NA,NA
WI,iceoff,2012-03-08,2012,68,NA,NA
WI,iceoff,2013-04-09,2013,99,NA,NA
WI,iceoff,2014-04-09,2014,99,NA,NA
